Model,Accuracy,Precision,Recall,F1 Score
LogisticRegression,0.7804878048780488,0.7572815533980582,0.975,0.8524590163934426
DecisionTree,0.8048780487804879,0.8333333333333334,0.875,0.8536585365853658
RandomForest,0.7886178861788617,0.7872340425531915,0.925,0.8505747126436781
